Name;Website;Address;Opening hours;Google Rating;Price;Tags;Type
Petrocelli's Bar;https://petrocelli.de;Savignyplatz 589, 10623 Berlin;Opens Mon-Sat at 17:00;3,7;€€€;Italian, Lunch;Restaurant
Koshary Lux;https://klx-kosharylux.com;Grolmanstraße 27, 10623 Berlin;"Tue, Wed at 18:00
Opens Thu, Fri 12:00-15:00
Sun, Mon closed";4,5;€;Oriental Streetfood, Delivery;Restaurant
Saigon Green;http://saigon-berlin.de;Kantstraße 23, 10623 Berlin;opens daily at 12:00;4,4;€€;Vietnamese, Lunch, Cash only;Restaurant
Schwarzes Café;https://www.schwarzescafe-berlin.de;Kantstraße 148, 10623 Berlin;opens daily at 8:00-1:00;4,4;€€;European, Cash only;Café
Kaffeehaus Mila;https://www.kaffeehaus-mila.de;Grolmanstraße 40, 10623 Berlin;opens daily at 9:30-20:00;4,1;€€;European, Bonus for *um;Café
Tommi's Burger Joint, Kudamm;https://tommis.is;Kurfürstendamm 212, 10719 Berlin;opens daily at 12:00-21:00;4,4;€€;American, Burger, Tuesday offer;Restaurant
ZEN Restaurant;https://zenberlin.de;Uhlandstraße 170a, 10719 Berlin;opens daily at 12:00-23:00;4,5;€€;Asian, Sushi, Lunch;Restaurant
Arirang ;;Uhlandstraße 194, 10623 Berlin;opens daily at 12:00-23:00;3,8;€;Korean, Cash only;Restaurant
Ashoka;https://www.myashoka.de;Grolmanstraße 51, 10623 Berlin;opens daily at 12:00-0:00;4,1;€;Indian, Vegetarian food, Delivery;Restaurant
Stulle mit Brot;https://stullemitbrot.com;Jeanne-Mammen-Bogen 575, 10623 Berlin;opens Mon-Fri at 11:30-15:30;4,6;€;Soup, Stulle;Restaurant
Elephant;https://restaurant-elefant.de;Fasanenstraße 15, 10623 Berlin;opens daily at 12:00-23:00;4,4;€€;Asian, Thai;Restaurant
Café Bleibtreu;https://www.cafe-bleibtreu.de;Bleibtreustraße 45, 10623 Berlin;opens daily at 10:00-23:00;4,3;€;European, German;Restaurant
Berliner Kaffeerösterei;https://www.berliner-kaffeeroesterei.de;Uhlandstraße 173/174, 10719 Berlin;opens daily at 9:00-20:00;4,5;€€;Café;Café
Zaim Falafel;;Kantstraße 25, 10623 Berlin;opens daily at 12-0:00;4,6;€;Lebanese;Restaurant
What do you fancy love?;http://www.whatdoyoufancylove.de/location/what-do-you-fancy-love/;Knesebeckstraße 68-69, 10623 Berlin;opens daily at 8:00-18:00;4,3;€€;Café;Café
HABEL am Kudamm;http://www.habelamkudamm.de/;Grolmanstraße 39, 10623 Berlin;opens Mon-Fri at 11:00-18:00;4,6;€€;Café, Lunch;Café
Nah am Wasser;http://www.nahamwasser.de/;Knesebeckstraße 76, 10623 Berlin;opens Mon-Fri at 8:00-17:00 ;4,2;€€;German, Breakfast, Lunch, Vegetarian food, Vegan food;Restaurant
Osteria Culaccino;https://www.osteria-culaccino.berlin/;Grolmanstraße 21, 10623 Berlin;opens Mon-Fri at 12:00-00:00, Sat at 16:00-00:00 ;4,4;€€;Italian, Steak, Seafood, Vegetarian food;Restaurant
Cassambalis Taverna;https://cassambalis.de/;Grolmanstraße 35, 10623 Berlin;opens Mon-Sat at 12:00-01:00, Sun at 17:00-00:00;4,4;€€;European, Mediterranean, Seafood;Restaurant
1900 Cafe Bistro;;Knesebeckstraße 76, 10623 Berlin;opens daily at 9:00-18:00;4,5;€€;Café, Breakfast, Lunch, Cake ;Restaurant
Bertolini - Feinkost;https://www.bertolini-feinkost.de/index.html;Grolmanstraße  22, 10623 Berlin;opens Tue-Sat at 12:00-23:00;4,7;€€;Italian, Delivery;Restaurant
Inizio Ristorante Bar;https://inizio.berlin/;Fasanenstraße 77, 10623 Berlin;opens Mon-Sat at 12:00-23:30;4,5;;Italian, Lunch;Restaurant
Burger Now;https://burgernow.de/;Fasanenstraße 14, 10623 Berlin;opens daily at 11:00-00:00;4,3;€;American, Burger, Fast food, Delivery;Restaurant
Simela finest food;https://www.simela.de/;Kantstraße 146, 10623 Berlin;opens daily at 12:00 - 00:00   ;4,3;€€;Modern European, Italian, Pizza;Restaurant
Princess Cheesecake Berlin GmbH;;Knesebeckstraße 32, 10623 Berlin;opens Mon-Fri at 11:00-18:00, Sat-Sun at 11:00-19:00 ;4,3;€€;Café, International;Café
Cappuccino Grand Café by petrocelli;https://petrocelli.de/;Knesebeckstraße 34, 10623 Berlin;opens daily at 8:00-18:00;3,8;€€;Café, Mediterranean, Italian;Café
Reinhard's am Kurfürstendamm;https://www.restaurant-reinhards.de/;Kurfürstendamm 27, 10719 Berlin;opens daily at 7:00-22:00;4,2;€€€;Modern European, German, Bar ;Restaurant
ROMERO Restaurant-Pizzeria;https://www.ristorante-romero.de/;Fasanenstraße 81a, 10623 Berlin;opens Mon-Sat at 11:00 - 01.00, Sun at 16:00 - 00:00;4,2;€€;European, Mediterranean, Italian, Pizza, Vegetarian food, Vegan food;Restaurant
Bagco Coffee Bar;;Kantstraße 154A, 10623 Berlin;opens Mon-Fri at 07:30-20:00, Sat-Sun at 08:00-20:00 ;4,4;€€;Café, Breakfast;Café
Stick’s n Sushi;https://sticksnsushi.com/de;Kantstraße 152, 10623 Berlin;opens Sun-Thu at 12:00-22:00, Fri-Sat at 12:00-23:00 ;4,4;€€;Japanese, Seafood, Sushi;Restaurant
Riviera;https://www.riviera-restaurant.de/;Knesebeckstraße 70, 10623 Berlin;opens Mon-Sat at 12:00-23:00;4,3;€€€;Mediterranean, Italian;Restaurant
Lily Grill-Club by Lily Burger;https://lilyburger.de/;Fasanenstraße 14, 10623 Berlin;opens 24/7, opens daily Breakfast Club 06:00 – 15:00, opens daily Grill Club 13:00 – 06:00;3,8;€€;American, Burger, Fast food, Vegetarian food, Vegan food, Breakfast, Steak;Restaurant
Adéle's Café Lita;http://www.cafelita.de/;Uhlandstraße 184, 10623 Berlin;opens Mon-Fri at 10:00-19:00;4,9;€€;French, German, African, South American, Lunch, Vegetarian food, Breakfast, Sandwiches, Cake, Soup;Café
Nicki´s Mommsen Café;http://www.nickis-mommsen.de/;Mommsenstraße 5, 10629 Berlin;;4,6;€€;Café;Café
Pizza Bleibtreu;http://www.pizzableibtreu.de/;Bleibtreustraße 41, 10623 Berlin;opens Mon-Fri at 11:00-21:30;4,3;€;Pizza;Restaurant
Ali Baba;http://www.alibaba-berlin.de/;Bleibtreustraße 45, 10623 Berlin;opens daily at 12:00-00:00;4,2;€;Mediterranean, Italian, Pizza, Delivery;Restaurant
Kouzina Berlin;https://www.kouzina-berlin.de/;Else-Ury-Bogen 597, 10623 Berlin;opens daily at 12:00-23:00;4,6;€;Mediterranean, Greek, Vegetarian food;Restaurant
12 Apostoli am Savignyplatz;https://www.12-apostoli.de/charlottenburg;Bleibtreustraße 49, 10623 Berlin;opens daily at 12:00-23:00;4,1;€€;International, Italian, Pizza;Restaurant
San Marino;https://sanmarino-restaurant.de/;Savignyplatz 12, 10623 Berlin;opens daily at 09:00-01:00;3,9;€€;Italian, Pizza, Vegetarian food;Restaurant
Lubitsch;http://www.restaurant-lubitsch.de/;Bleibtreustraße 47, 10623 Berlin;opens daily at 12:00-00:00;4,4;€€;German, European, Central European;Restaurant
Coffee Drink Your Monkey;https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FCoffee-Drink-Your-Monkey-134957257047933;Savignyplatz 11, 10623 Berlin;opens Mon-Fri at 07:30-19:00, Sat at 09:00-19:00, Sun at 09:00-18:00;4,4;€€;Café, Vegetarian food, Vegan food;Café
027 ~ Not Your Ordinary Kebab;                              X;Kantstraße 143, 10623 Berlin;opens Sun-Thu at 12:00-22:00, Fr-Sat at 12:00-01:00;4,2;€;Turkish, Kebab, Delivery;Restaurant
My Son;https://myson.restaurant/;Kantstraße 143, 10623 Berlin;opens daily at 12:00-23:00;4,3;;Vietnamese, Sushi, Delivery;Restaurant
ROCA;https://www.waldorfastoriaberlin.de/dine/roca-restaurant/;Hardenbergstraße 28, 10623 Berlin;opens daily at 12:00-21:00;4,3;€€€;European, Vegetarian food;Restaurant
Zaddy's;http://www.zaddys.de/zaddys/;Joachimsthaler Straße 3, 10623 Berlin;opens Sun-Thu at 09:00-00:00, Fr-Sat at 09:00-02:00;4,2;€;Turkish, Kebab, Delivery, Vegetarian food, Fast food;Restaurant
Burgermeister Zoo;https://burger-meister.de/;Joachimsthaler Straße 1, 10623 Berlin;opens Mon-Thu at 11:00-00:00, Fr-Sat at 11:00-02:00, Sun at  12:00-00:00;4,4;€€;American, Fast food, Burger, Delivery;Restaurant
Starbucks;https://www.starbucks.de/?y_source=1_MTU0NTQxNzItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D;Joachimsthaler Straße 1, 10623 Berlin;opens Mon-Fri at 08:00-19:00, Sat at 09:00-19:00, Sun at 10:00-18:30;4;€€;Café, Delivery;Café
Hakiki;https://hakiki.de/;Joachimsthaler Straße 3, 10623 Berlin;opens 24/7;4,1;€;Turkish, Fast food;Restaurant
Bier’s Mini 7;https://de-de.facebook.com/pages/Biers-Mini-7/280294265418421;Kantstraße 7, 10623 Berlin;opens Mon at 11:00-20:00, Tue-Wed at 11:30-20:00, Thu-Fr at 11:00-21:30, Sat at 11:30-20:00;4,3;;German, Fast food;Restaurant
Hanoi, Vietnamesische Küche & Sushi;https://hanoi-vietnamese-kitchen-sushi.business.site/;Kantstraße 15, 10623 Berlin;opens Mon-Sat at 12:00-22:00, Sun at 16:00-22:00;4,3;€;Vietnamese, Sushi;Restaurant
Trattoria Café Tatou;http://www.trattoria-tatou.de/;Kantstraße 16, 10623 Berlin;opens daily at 10:00-23:00;4,1;€;European, Italian, Pizza, Delivery, Vegetarian food, Vegan food;Restaurant
Chito Coffee;https://m.facebook.com/chitocoffeeberlin/;Savignyplatz 3, 10623 Berlin;opens daily at 09:00-17:00;4,7;€€;European, German, Spanish, Portuguese;Restaurant
Dicke Wirtin;https://dicke-wirtin.de/;Carmerstraße 9, 10623 Berlin;opens Wed-Mon at 11:00-23:00;4,5;€€;European, Central European, German, Pub, Vegetarian food;Restaurant
Mamma Monti;http://www.mamma-monti.com/;Carmerstraße 11, 10623 Berlin;opens Mon-Fr at 11:00-23:00, Sat-Sun at 15:00-23:00;4,6;€€;International, Mediterranean, Italian, Vegetarian food, Vegan food, Delivery;Restaurant
L'Osteria Berlin Savignyplatz;https://losteria.net/de/restaurants/restaurant/berlin-savignyplatz/?utm_source=google&utm_medium=Yext;Savignyplatz 5, 10623 Berlin;opens daily at 12:00-22:00;3,9;€€;European, Italian, Pizza, Delivery;Restaurant
Aida;https://aida-restaurant.de/;Knesebeckstraße 83, 10623 Berlin;;4,4;€€;European, Mediterranean, Italian, Pizza, Vegetarian food, Vegan food, Delivery;Restaurant
Zwiebelfisch;http://www.zwiebelfisch-berlin.de/;Savignyplatz 7, 10623 Berlin;opens daily at 12:00-02:00;4,3;€€;Pub;Restaurant
Green Flavor;https://www.greenflavor.de/;Kantstrasse 22, 10623 Berlin;opens daily at 12:00-23:00;4,4;€€;Asian, Chinese, Vegetarian food, Vegan food, Delivery;Restaurant
Saigon Green;http://saigon-berlin.de/index.php/saigon.html;Kantstraße 23, 10623 Berlin;opens Mon-Sat at 12:00-22:00;4,4;€€;Asian, Vietnamese, Vegetarian food, Vegan food;Restaurant
momiji;https://www.mo-mi-ji.com/;Bleibtreustrasse 52, 10623 Berlin;"opens Mon-Fr: Lunch at 12:00-14:30, Dinner at 17:00-21:15; Sat at 12:00-21:15";4,7;€€;Asian, Japanese, Vegetarian food, Vegan food, Delivery;Restaurant
A Never Ever Ending Love Story;http://www.anevereverendinglovestory.de/location/a-never-ever-ending-lovestory/;Kantstraße 25, 10623 Berlin;opens daily at 08:00-17:00;4,5;€€;Café, European, Vegetarian food, Vegan food, Breakfast;Café
Kuchi Kant;http://kuchi.de/restaurant/kant/;Kantstraße 30, 10623 Berlin;opens daily at 12:00-22:00;4,4;€€;Asian, Japanese, Sushi, Vegetarian food, Vegan food;Restaurant
Madame Ngo une Brasserie Hanoi;https://madame-ngo.de/;Kantstraße 30, 10623 Berlin;opens Tue-Fr at 12:00-22:30;4,4;€€;Asian, Vietnamese, Vegetarian food, Vegan food, Delivery;Restaurant
Good Friends Restaurant;https://www.goodfriends-berlin.de/;Kantstraße 30, 10625 Berlin;opens daily at 12:00-23:00;4,1;€€;Asian, Chinese, Cantonese, Vegetarian food, Vegan food, Delivery;Restaurant
Meze - Schlüterstraße;https://www.mezemcatering.de/;Schlüterstraße 19, 10625 Berlin;opens Mon-Sat at 12:00-18:00;4,6;;Oriental, Mediterranean, Turkish, Vegetarian food, Vegan food;Restaurant
Good Friends - Too;https://www.goodfriends.info/speisekarte/;Kantstraße 31, 10625 Berlin;opens Mon-Sat at 12:00-23:00;4,3;€€;Chinese, Barbecue, Grill specialties, Delivery;Restaurant
Noodle Village;https://www.noodlevillage.de/;Kantstraße 32, 10625 Berlin;opens daily at 12:00-23:00;4,6;€€;Café, Vietnamese, Vegetarian food;Café
Aroma;https://www.aroma-kantstrasse.de/;Kantstraße 35, 10625 Berlin;opens daily at 12:00-03:00;3,9;€€;Asian, Chinese, Cantonese;Restaurant
BY ALI;https://by-ali.eatbu.com/?lang=de;Kantstraße 38, 10625 Berlin;opens Mon-Thu at 09:00-03:00, Fr-Sat at 09:00-04:00, Sun at 10:00-01:00;3,9;€;Turkish, Delivery;Restaurant
Ebn Tamshah;http://ebn-tamshah.edan.io/;Leibnizstraße 34, 10625 Berlin;opens Mon-Fr at 11:30-22:00, Sat at 14:00-22:00;4,9;€;Oriental, Arabic, Mediterranean, Lebanese, Moroccan;Restaurant
The Pink;https://www.the-pink.de/;Kantstraße 132, 10625 Berlin;opens Wed-Sun at 09:00-16:00;4,1;€€;Café, International;Café
DAO Thai-Restaurant;https://dao-restaurant.de/;Kantstraße 133, 10625 Berlin;opens daily at 12:00-23:00;4,4;€€;Asian, Thai, Vegetarian food, Vegan food;Restaurant
Sawaddie Thai Food;;Kantstraße 134, 10625 Berlin;opens Tue-Sun at 12:00-23:00;4,2;€€;Asian, Thai, Vegetarian food;Restaurant
Sun_days;;Kantstraße 134A, 10625 Berlin;opens daily at 09:00-23:00;5;;Brunch;Restaurant
Outgrow Coffee;http://www.outgrow.coffee/;Kantstraße 134B, 10625 Berlin;opens Mon-Thu at 09:00-17:00, Sat-Sun at 10:00-18:00;4,7;€€;Café, German ;Café
Funky Fisch;https://funky-fisch.de/;Kantstraße 135, 10625 Berlin;opens Tue-Sat at 12:00-23:00;4,4;€€;European, Seafood, Vegetarian food;Restaurant
Ngo Kim Pak;https://www.ngokimpak.de/;Schlüterstraße 22, 10625 Berlin;opens Tue-Sat at 12:00-22:30;4,3;€€;Asian, Korean, Delivery;Restaurant
Der Kuchenladen;https://www.derkuchenladen.de/;Kantstraße 138, 10623 Berlin;opens daily at 10:00-20:00;4,4;€€;Café, Vegetarian food;Café
XXX Ramen Berlin;https://www.facebook.com/XXXRamen/;Kantstraße 130, 10625 Berlin;opens daily at 12:00-22:00;4,2;€€;Japanese, Delivery;Restaurant
Tavola Calda;https://restaurant-tavola-calda.business.site/?utm_source=gmb&utm_medium=referral;Leibnizstraße 45, 10629 Berlin;opens Mon-Sat at 12:00-00:00;4,7;€€;European, Italian, Vegetarian food;Restaurant
Hanoi's Corner;https://hanoiscornerberlin.de/;Leibnizstraße 56, 10629 Berlin;opens Mon-Sat at 11:30-23:00;4,4;€;Sushi, Asian, Vietnamese, Japanese, Vegetarian food, Vegan food, Delivery;Restaurant
Samos;https://www.samos-berlin.de/;Leibnizstraße 56, 10629 Berlin;opens Tue-Sun at 12:00-00:00;4,5;€€;Mediterranean, European, Greek, Vegetarian food, Vegan food, Delivery;Restaurant
KANT Café Restaurant Bar;http://kantcafe.de/;Walter-Benjamin-Platz 8, 10629 Berlin;opens daily at 11:00-01:00;3,8;€;International, European, German, Vegetarian food, Vegan food;Restaurant
Phoenicia ;https://restaurant-phoenicia.de/;Olivaer Pl. 15, 10707 Berlin;opens Mon-Thu at 11:30-00:00, Fr-Sat at 11:00-01:00, Sun at 11:00-00:00;4,7;€€;Mediterranean, Oriental, Arabic, Lebanese, Vegetarian food, Vegan food;Restaurant
Da Torino;http://datorino-berlin.de/;Bleibtreustraße 30, 10707 Berlin;opens daily at 12:30-23:00;5;€€;Italian;Restaurant
DUDU 31;http://dudu-berlin.de/dudu31/;Bleibtreustraße 31, 10707 Berlin;opens Tue-Thu at 12:00-22:30, Fr-Sat at 12:00-23:00;4,3;€€;Asian, Japanese, Seafood, Sushi, Vegetarian food, Vegan food;Restaurant
Kreuzburger;https://kreuzburger.de/;Knesebeckstraße 64, 10719 Berlin;opens daily at 11:00-21:45;4,6;€;American, Fast food, Burger, Vegetarian food, Vegan food;Restaurant
Aller & Liebst Konditorei Cafe´;http://www.allerundliebst.de/;Knesebeckstraße 54, 10719 Berlin;opens Mon-Sat at 09:30-16:00;4,3;€€;Café, International, Delivery;Café
May Restaurant;http://www.may-restaurant.de/;Lietzenburger Straße 77, 10719 Berlin;opens Mon-Fr at 11:30-22:00, Sun at 12:00-22:00;4,4;€;Vietnamese, Vegetarian food, Vegan food, Delivery;Restaurant
Burger City Uhlandstraße;https://burgercity.berlin/;Uhlandstraße 38, 10719 Berlin;opens Mon-Thu at 11:00-01:00, Fr-Sat at 11:00-02:00, Sun at 11:00-00:00;4,3;€;Fast food, Burger, Delivery;Restaurant
Spice India Restaurant;https://spiceindia.de/;Uhlandstraße 161, 10719 Berlin;opens Sun-Thu at 12:00-00:00, Fr-Sat at 12:00-01:00;4,3;€;Asian, Indian, Vegetarian food, Vegan food, Delivery;Restaurant
Rosso2;https://rosso2.de/;Uhlandstraße 43, 10719 Berlin;opens Mon-Sat at 12:00-22:00;4,9;;Italian, Delivery;Restaurant
I-Ke-Su;https://www.ikesu.de/;Uhlandstraße 157, 10719 Berlin;opens daily at 12:00-23:30;4,5;€€;Asian, Japanese, Seafood, Sushi, Vegetarian food, Vegan food, Delivery;Restaurant
Burger Route 2;https://burger-route.de/;Uhlandstraße 157, 10719 Berlin;opens daily at 11:00-22:00;4,3;;Fast food, Burger, Delivery;Restaurant
Viet Bowl;https://www.vietbowl.de/charlottenburg;Uhlandstraße 156, 10719 Berlin;opens daily at 11:30-23:00;4,6;€€;Asian, Vietnamese, Vegetarian food, Vegan food, Delivery;Restaurant
Miro;https://cafe-miro.com/;Uhlandstraße 33, 10719 Berlin;opens Mon-Fr at 07:00-17:30, Sat at 08:00-17:30, Sun at 08:00-16:00;4,4;€€;Café, European, Vegetarian food, Vegan food;Café
Black & White Istanbul;http://www.blackandwhite-berlin.de/;Uhlandstraße 171/172, 10719 Berlin;opens daily at 10:00-00:00;4,3;€€;Oriental, Mediterranean, European, Turkish, Vegetarian food, Vegan food;Restaurant
Piccola Taormina;https://www.taormina.berlin/;Uhlandstraße 29, 10719 Berlin;opens daily at 10:00-00:00;4,4;€;Mediterranean, European, Italian, Pizza, Vegetarian food, Vegan food, Delivery;Restaurant
The Klub Kitchen West;https://www.theklubkitchen.com/;Uhlandstraße 175, 10719 Berlin;opens Mon-Sat at 12:00-18:00;4,9;€;Vegetarian food, Vegan food;Restaurant
Schildkröte;https://www.restaurant-schildkroete.de/;Kurfürstendamm 212, 10719 Berlin;opens daily at 11:30-00:00;4,3;€€;European, Central European, German;Restaurant
Let's Go Sylt;https://letsgo-sylt.de/6601?utm_source=google&utm_medium=mybusiness&utm_campaign=gb;Kurfürstendamm 212, 10719 Berlin;opens Mon-Sat at 11:00-23:30, Sun at 12:00-23:30;4,1;€€€;Mediterranean, European, Seafood, Soup, Vegetarian food, Delivery;Restaurant
Café im Literaturhaus - Wintergarten;http://cafe-im-literaturhaus.de/;Fasanenstraße 23, 10719 Berlin;opens daily at 09:00-00:00;4,4;€€;Café;Café
Ho Lin Wah;https://www.facebook.com/CAPONEBERLIN1889/?rf=153314071375731;Kurfürstendamm 218, 10719 Berlin;opens Wed-Mo at 12:00-22:00;4,2;€€;Asian, Chinese, Vegetarian food, Vegan food;Restaurant
est.;http://www.est-restaurant.de/language/de/;Meinekestraße 20, 10719 Berlin;opens Mon-Fr at 11:30-23:00, Sat at 17:00-23:30;4,6;€€;Asian, Japanese, Sushi, Seafood, Fusion, Vegetarian food;Restaurant
Diekmann;https://diekmann-restaurant.de/;Meinekestraße 7, 10719 Berlin;opens Tue-Sat at 12:00-00:00;4,4;€€€;Vegetarian food, Vegan food, Lunch;Restaurant
Fit & Organic by Adriana;https://fit-organic-by-adriana.business.site/;Olivaer Pl. 20, 10707 Berlin;opens daily at 09:00-18:00;4,8;;International, Fusion;Restaurant
ShooLoongKan HotPot;;Meinekestraße 22, 10719 Berlin;opens daily at 12:00-23:00;4,2;;Asian, Chinese;Restaurant
Mai Kudamm;https://www.restaurant-mai-kudamm.de/;Meinekestraße 23, 10719 Berlin;opens Mon-Sat at 11:30-23:00;4,8;;Asian, Delivery;Restaurant
Gasthaus Krombach;https://gasthaus-krombach.de/;Meinekestraße 4, 10719 Berlin;opens daily at 12:00-00:00;4,5;€€;German, Vegetarian food;Restaurant
Ristorante-Arlecchino;https://ristorante-arlecchino.de/;Ristorante-Arlecchino, Meinekestraße 25, 10719 Berlin;opens Mon-Sat at 11:30-00:00, Sun at 16:30-00:00;4,4;€€;Mediterranean, European, Italian, Pizza, Vegetarian food, Vegan food;Restaurant
Zum Patzenhofer;https://www.facebook.com/pages/Zum-Patzenhofer/110659392376688;Meinekestraße 26, 10719 Berlin;opens Mon-Sat at 11:30-01:00, Sun at 16:00-01:00;4,5;€€;Central European, European,  German, Pub, Vegetarian food;Restaurant
Hard Rock Cafe;https://www.hardrockcafe.com/location/berlin/#utm_source=Google&utm_medium=Yext&utm_campaign=Listings;Kurfürstendamm 224, 10719 Berlin;opens Sun-Thu at 12:00-22:00, Fr-Sat at 12:00-23:00;4,3;€€;International, American, European, Vegetarian food;Restaurant
Alt-Berliner-Biersalon GmbH;http://www.alt-berliner-biersalon.de/;Kurfürstendamm 225-226, 10719 Berlin;opens Mon-Thu at 10:00-01:00, Fr at 10:00-03:00, Sat at 09:00-03:00, Sun at 09:00-01:00;4,2;€€;European, Central European, German, Pub, Vegetarian food;Restaurant
Cucina Comoda;https://www.cucinacomoda.de/;Wielandstraße 11, 10629 Berlin;opens daily at 11:30-00:00;4,4;€€;Mediterranean, European, Italian, Vegetarian food;Restaurant
DIMORA - Inh. Pasquale Dimora;https://dimora-ristorantebar.eatbu.com/?lang=de;Wielandstraße 38, 10629 Berlin;opens Tue-Fr at 12:00-23:00, Sat-Sun at 16:00-23:00;4,7;;Italian;Restaurant
Heno Heno;https://henoheno.de/;Wielandstraße 37, 10629 Berlin;opens Tue-Fr at 12:00-22:00, Sat at 13:00-22:00;4,6;€;Asian, Japanese, Vegetarian food, Vegan food;Restaurant
Auguste;https://www.auguste-berlin.com/;Mommsenstraße 61, 10629 Berlin;opens Sun-Thu at 09:00-01:00, Fr-Sat at 09:00-02:00;4,4;€€;Café, International;Café
Cumberland;https://cumberland-restaurant.de/;Kurfürstendamm 194, 10707 Berlin;opens Tue-Sat at 12:00-00:00;4,5;;French;Restaurant
SUPERFOODS & ORGANIC LIQUIDS;https://www.superfoodsberlin.com/;Schlüterstraße 37, 10629 Berlin;opens Mo-Fr at 07:30-18:00, Sat at 09:00-18:00, Sun at 10:00-18:00;3,9;€€;Café, European, Fusion;Café
Café Sets;https://www.setsberlin.de/;Schlüterstraße 36, 10629 Berlin;opens Mo-Sat at 08:00-19:00, Sun at 09:30-18:00;4,1;€€;Café, European, Vegetarian food, Vegan food;Café
Adnan;https://m.facebook.com/restaurantadnan/;Schlüterstraße 33, 10629 Berlin;opens Mo-Sat at 12:00-00:00;4,3;€€;Mediterranean, Italian, European, Vegetarian food;Restaurant
Baba Angora;https://babaangora.de/;Schlüterstraße 29, 10629 Berlin;opens daily at 11:30-23:00;4,3;€€€;Turkish, Oriental, Mediterranean, Vegetarian food, Vegan food;Restaurant
NU RESTAURANT;http://www.nu-eat.de/;Schlüterstraße 55, 10629 Berlin;opens Mo-Fr at 12:00-23:00, Sat-Sun at 13:00-23:00;4,4;€€;Asian, Vegetarian food, Vegan food, Delivery;Restaurant
Pizza Como;https://www.pizzacomo.de/;Schlüterstraße 24A, 10625 Berlin;opens daily at 11:00-00:00;4,6;€;Pizza;Restaurant
Café Aedes Signorello;https://cafeaedes.eatbu.com/?lang=de;Bleibtreustraße 5A, 10623 Berlin;opens Mo-Fr at 08:00-19:00, Sat-Sun at 09:00-20:00, Sun at 09:00-18:00;4,6;€;Café, Italian;Café
Capone;http://capone-berlin.de/;Kurfürstendamm 202, 10719 Berlin;opens daily at 11:00-00:00;4,2;€€;Mediterranean, European, Italian, Pizza, Vegetarian food, Vegan food, Delivery;Restaurant
Auf Die Hand - Olivaer Platz;https://www.auf-die-hand.de/;Kurfürstendamm 182, 10707 Berlin;opens Mon-Fr at 08:00-19:00, Sat at 09:00-19:00;4,6;€;Café, Fast food;Café
Sagano;https://sagano.de/;Kurfürstendamm 182, 10707 Berlin;opens daily at 11:30-23:00;4;€€;Asian, Japanese, Sushi, Vegetarian food, Vegan food, Delivery;Restaurant
